Items,vender,price($) 2018,qt.(for 16-channel),qt.(for 8-channel)
Perfusion Pressure Kit - 8-channel,http://www.autom8.com/,495,2,1
ValveLink8.2Â® Pinch Valve Perfusion System,http://www.autom8.com/,2495,2,1
"50feet Silicone pinch valve tubing - 1/32"" i.d. x 1/16"" o.d.",http://www.autom8.com/,100,1,1
100 Pinch valve fittings,http://www.autom8.com/,79,1,1
 ,,,,
Lab Jack U3-LV,http://labjack.com/,108,2,1
CB15 Terminal Board,http://labjack.com/,29,1,1
,,,,
"Tygon FEP-Lined Tubing, Non-DEHP, 1/16""ID X1/8""OD, 50ft/pk",Cole-Parmer,82,1,1
"Female Luer to 1/16"" wide-bore hose barb, PC, 25 per pack",Cole-Parmer,9,2,2
"Microbore PTFE Tubing, 0.022""ID x 0.042""OD, 100 ft/roll",Cole-Parmer,22,2,2
"PTFE Tubing, 1/16""ID x 1/8""OD, 25 ft/pack",Cole-Parmer,41,1,1
,,,,
"LUER LOCK SYRINGE GLASS, 30ML,1PK(6)",VWR,125,4,4
Media/Storage Bottles GL 45 Cap. 100mL  1PK(10) ,VWR,41,3,3
,,,,
"Agilent Hydrocarbon Traps, HT200-4",http://www.chem.agilent.com/,156,1,1
,,,,
"Brass Yor-Lok Tube Fittings, Tee Connectors, Tube-to-Tube #5272K251",http://www.mcmaster.com/,13.27,1,1
"Brass Yor-Lok Tube Fittings, Straight Adapters, Tube-to-Male Threaded Pipe #5272K191",http://www.mcmaster.com/,4.08,1,1
"Brass Yor-Lok Tube Fittings, Reducing Straight Connectors, 1/4"" Tube-to- 1/8"" Tube, #5272K214",http://www.mcmaster.com/,5.87,1,1
"Trade-Sized Tapered Round Plugs, Abrasion-Resistant Rubber, with one hole 1pk(10)  #9545K118",http://www.mcmaster.com/,5.24,2,2
"Straight Adapters, Tube-to-Female Threaded Pipe, # 7880T167",http://www.mcmaster.com/,4.43,5,5
,,,,
"SMC pressuare regulator, model:  AR25-N02E-Z",http://www.smcpneumatics.com/,29.8,1,1
,,`,,